fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
73016.mol,129.46176195484102,leastNAD+.mol,minimize,16.43757390975952,,,,,,,molSizeTiming,PYM,
86150.mol,349.9774981346172,FADH2.mol,minimize,80.35159301757812,,,,,,,molSizeTiming,,
94461.mol,49.3106830969859,leastNAD+.mol,minimize,21.436434984207153,,,,,,,molSizeTiming,PYM,
11281.mol,52.2671297269866,leastNAD+.mol,minimize,16.810086727142334,,,,,,,molSizeTiming,PYM,
11602.mol,-122.07692823311464,NAD+.mol,minimize,56.18276643753052,,,,,,,molSizeTiming,,
34615.mol,50.32141476916236,leastNAD+.mol,minimize,23.32526206970215,,,,,,,molSizeTiming,PYM,
55100.mol,50.15869792609057,leastNAD+.mol,minimize,20.4750874042511,,,,,,,molSizeTiming,PYM,
67697.mol,241.3082212266151,FADH2.mol,minimize,81.53242015838623,,,,,,,molSizeTiming,,
72856.mol,-116.22093095054059,NAD+.mol,minimize,61.2417676448822,,,,,,,molSizeTiming,,
81659.mol,55.92807523194326,leastNAD+.mol,minimize,26.54948091506958,,,,,,,molSizeTiming,PYM,
12234.mol,47.7867122832219,leastNAD+.mol,minimize,30.5670108795166,,,,,,,molSizeTiming,PYM,
31312.mol,56.81485558251339,leastNAD+.mol,minimize,19.0693142414093,,,,,,,molSizeTiming,PYM,
34048.mol,-110.2470273154471,NAD+.mol,minimize,61.17910933494568,,,,,,,molSizeTiming,,
